"","fips","month","av_tem"
"219","1037",9,73.9
"220","1037",10,66.7
"221","1039",1,52.2
"222","1039",2,54.4
"223","1039",3,67.05
"224","1039",4,65.35
"225","1039",5,70.8
"226","1039",6,78.8
"227","1039",7,81.65
"228","1039",8,81.15
"229","1039",9,76.4
"230","1039",10,69.35
"231","1041",1,51.2
"232","1041",2,53.5
"233","1041",3,66.3
"234","1041",4,64.3
"235","1041",5,70.3
"236","1041",6,77.7
"237","1041",7,80.8
"238","1041",8,80.9
"239","1041",9,75.1
"240","1041",10,68.7
"241","1043",1,46.2
"242","1043",2,47.2
"243","1043",3,59.8
"244","1043",4,58.8
"245","1043",5,66.7
"246","1043",6,75.6
"247","1043",7,79.4
"248","1043",8,78.8
"249","1043",9,72.2
"250","1043",10,63.3
"251","1045",1,52.8
"252","1045",2,54.9
"253","1045",3,67.6
"254","1045",4,65.6
"255","1045",5,71.6
"256","1045",6,78.8
"257","1045",7,81.6
"258","1045",8,81.5
"259","1045",9,75.6
"260","1045",10,70.4
"261","1047",1,41.42
"262","1047",2,42.34
"263","1047",3,55.72
"264","1047",4,58.08
"265","1047",5,66.36
"266","1047",6,77.02
"267","1047",7,81.08
"268","1047",8,78.48
"269","1047",9,71.02
"270","1047",10,58.96
"271","1049",1,37
"272","1049",2,37.5666666666667
"273","1049",3,49.3166666666667
"274","1049",4,52.1166666666667
"275","1049",5,61.7
"276","1049",6,72.9166666666667
"277","1049",7,77.6833333333333
"278","1049",8,74.8
"279","1049",9,66.8
"280","1049",10,56.4166666666667
"281","1051",1,40.75
"282","1051",2,41.2
"283","1051",3,51.65
"284","1051",4,54.15
"285","1051",5,61.75
"286","1051",6,68.85
"287","1051",7,75.55
"288","1051",8,76.3
"289","1051",9,69.05
"290","1051",10,58.85
"291","1053",1,54.15
"292","1053",2,56.35
"293","1053",3,68.15
"294","1053",4,66.65
"295","1053",5,72.05
"296","1053",6,79.05
"297","1053",7,81.5
"298","1053",8,81.1
"299","1053",9,77
"300","1053",10,71.55
"301","1055",1,47.1
"302","1055",2,48.2
"303","1055",3,59.9
"304","1055",4,58.9
"305","1055",5,66.2
"306","1055",6,75.4
"307","1055",7,80
"308","1055",8,79.1
"309","1055",9,72.4
"310","1055",10,64.6
"311","1057",1,39.5272727272727
"312","1057",2,38.9909090909091
"313","1057",3,51.5363636363636
"314","1057",4,53.2909090909091
"315","1057",5,62.8090909090909
"316","1057",6,72.9272727272727
"317","1057",7,78.4363636363636
"318","1057",8,75.1727272727273
"319","1057",9,67.8454545454545
"320","1057",10,57.4363636363636
"321","1059",1,36.8958333333333
"322","1059",2,37.1125
"323","1059",3,48.6125
"324","1059",4,51.6833333333333
"325","1059",5,61.1166666666667
"326","1059",6,71.75
"327","1059",7,77.2375
"328","1059",8,74.2625
"329","1059",9,66.3375
"330","1059",10,55.7583333333333
"331","1061",1,53.3
"332","1061",2,55.8
"333","1061",3,68.2
"334","1061",4,66.6
"335","1061",5,72.2
"336","1061",6,79.2
"337","1061",7,81.9
"338","1061",8,81.8
"339","1061",9,76.6
"340","1061",10,70.8
"341","1063",1,39.3928571428571
"342","1063",2,40.15
"343","1063",3,51.5714285714286
"344","1063",4,53.8785714285714
"345","1063",5,62.5142857142857
"346","1063",6,73.4642857142857
"347","1063",7,78.7714285714286
"348","1063",8,75.3928571428571
"349","1063",9,68.25
"350","1063",10,58.0642857142857
"351","1065",1,45.65
"352","1065",2,45.1
"353","1065",3,58.9
"354","1065",4,59.45
"355","1065",5,69.5
"356","1065",6,77.45
"357","1065",7,82.15
"358","1065",8,80.65
"359","1065",9,71.7
"360","1065",10,62.25
"361","1067",1,38
"362","1067",2,38.28
"363","1067",3,50.52
"364","1067",4,53.48
"365","1067",5,62.47
"366","1067",6,73.84
"367","1067",7,78.58
"368","1067",8,75.14
"369","1067",9,67.62
"370","1067",10,56.8
"371","1069",1,44.68
"372","1069",2,44.48
"373","1069",3,58.04
"374","1069",4,59.18
"375","1069",5,67.62
"376","1069",6,76.42
"377","1069",7,80.44
"378","1069",8,79.14
"379","1069",9,71.7
"380","1069",10,62.16
"381","1071",1,37.4695652173913
"382","1071",2,37.4565217391304
"383","1071",3,49.6130434782609
"384","1071",4,52.5521739130435
"385","1071",5,61.7086956521739
"386","1071",6,72.2565217391304
"387","1071",7,77.1826086956522
"388","1071",8,74.7521739130435
"389","1071",9,66.8695652173913
"390","1071",10,55.6608695652174
"391","1073",1,37.748
"392","1073",2,37.532
"393","1073",3,48.808
"394","1073",4,52.04
"395","1073",5,61.136
"396","1073",6,70.92
"397","1073",7,76.156
"398","1073",8,74.02
"399","1073",9,66.708
"400","1073",10,55.488
"401","1075",1,49.325
