"","countyfp","facemask_never","facemask_rarely","facemask_sometimes","facemask_frequently","facemask_always","fips"
"109","04023",0.028,0.002,0.058,0.074,0.837,4023
"110","04025",0.031,0.073,0.081,0.176,0.639,4025
"111","04027",0.008,0.013,0.046,0.129,0.804,4027
"112","05001",0.019,0.073,0.134,0.216,0.557,5001
"113","05003",0.023,0.103,0.163,0.117,0.595,5003
"114","05005",0.15,0.104,0.108,0.104,0.534,5005
"115","05007",0.081,0.034,0.083,0.16,0.643,5007
"116","05009",0.129,0.145,0.122,0.189,0.416,5009
"117","05011",0.094,0.102,0.175,0.184,0.445,5011
"118","05013",0.145,0.132,0.108,0.211,0.404,5013
"119","05015",0.111,0.068,0.115,0.129,0.577,5015
"120","05017",0.104,0.074,0.193,0.097,0.531,5017
"121","05019",0.08,0.091,0.08,0.231,0.518,5019
"122","05021",0.082,0.124,0.157,0.242,0.395,5021
"123","05023",0.036,0.065,0.093,0.259,0.546,5023
"124","05025",0.107,0.03,0.16,0.231,0.472,5025
"125","05027",0.241,0.072,0.054,0.25,0.383,5027
"126","05029",0.071,0.12,0.137,0.347,0.325,5029
"127","05031",0.078,0.123,0.138,0.341,0.32,5031
"128","05033",0.155,0.1,0.167,0.211,0.367,5033
"129","05035",0.059,0.017,0.11,0.306,0.508,5035
"130","05037",0.097,0.017,0.163,0.319,0.404,5037
"131","05039",0.197,0.055,0.093,0.196,0.459,5039
"132","05041",0.078,0.033,0.19,0.189,0.509,5041
"133","05043",0.063,0.049,0.207,0.159,0.523,5043
"134","05045",0.066,0.027,0.077,0.403,0.426,5045
"135","05047",0.149,0.079,0.245,0.187,0.34,5047
"136","05049",0.105,0.121,0.226,0.197,0.351,5049
"137","05051",0.025,0.102,0.068,0.21,0.596,5051
"138","05053",0.082,0.043,0.127,0.258,0.489,5053
"139","05055",0.062,0.141,0.154,0.346,0.297,5055
"140","05057",0.098,0.073,0.096,0.179,0.554,5057
"141","05059",0.059,0.086,0.079,0.216,0.56,5059
"142","05061",0.081,0.07,0.145,0.145,0.56,5061
"143","05063",0.137,0.156,0.088,0.179,0.44,5063
"144","05065",0.086,0.121,0.133,0.23,0.43,5065
"145","05067",0.116,0.103,0.135,0.179,0.468,5067
"146","05069",0.042,0.036,0.172,0.173,0.577,5069
"147","05071",0.144,0.103,0.205,0.221,0.328,5071
"148","05073",0.12,0.082,0.078,0.234,0.486,5073
"149","05075",0.085,0.128,0.153,0.298,0.337,5075
"150","05077",0.103,0.032,0.195,0.263,0.407,5077
"151","05079",0.035,0.016,0.194,0.201,0.554,5079
"152","05081",0.074,0.121,0.106,0.201,0.499,5081
"153","05083",0.148,0.11,0.12,0.143,0.479,5083
"154","05085",0.048,0.045,0.136,0.297,0.474,5085
"155","05087",0.075,0.088,0.159,0.114,0.564,5087
"156","05089",0.171,0.112,0.119,0.108,0.49,5089
"157","05091",0.064,0.124,0.106,0.219,0.487,5091
"158","05093",0.033,0.109,0.134,0.284,0.44,5093
"159","05095",0.068,0.128,0.127,0.271,0.406,5095
"160","05097",0.081,0.095,0.136,0.166,0.521,5097
"161","05099",0.143,0.048,0.084,0.224,0.501,5099
"162","05101",0.107,0.14,0.084,0.261,0.408,5101
"163","05103",0.151,0.097,0.06,0.242,0.449,5103
"164","05105",0.098,0.051,0.08,0.367,0.404,5105
"165","05107",0.052,0.061,0.134,0.276,0.477,5107
"166","05109",0.064,0.061,0.2,0.176,0.501,5109
"167","05111",0.077,0.098,0.141,0.287,0.397,5111
"168","05113",0.18,0.08,0.217,0.076,0.446,5113
"169","05115",0.082,0.151,0.181,0.285,0.302,5115
"170","05117",0.062,0.17,0.103,0.273,0.391,5117
"171","05119",0.028,0.027,0.126,0.175,0.644,5119
"172","05121",0.051,0.145,0.203,0.289,0.311,5121
"173","05123",0.087,0.007,0.289,0.267,0.35,5123
"174","05125",0.066,0.044,0.154,0.212,0.524,5125
"175","05127",0.155,0.14,0.124,0.123,0.458,5127
"176","05129",0.1,0.088,0.125,0.149,0.538,5129
"177","05131",0.121,0.142,0.157,0.208,0.372,5131
