"","countyfp","facemask_never","facemask_rarely","facemask_sometimes","facemask_frequently","facemask_always","fips"
"475","13177",0.035,0.033,0.039,0.162,0.732,13177
"476","13179",0.007,0.099,0.066,0.215,0.614,13179
"477","13181",0.073,0.104,0.111,0.233,0.479,13181
"478","13183",0.014,0.119,0.086,0.159,0.621,13183
"479","13185",0.108,0.101,0.149,0.208,0.435,13185
"480","13187",0.035,0.086,0.13,0.245,0.504,13187
"481","13189",0.072,0.053,0.123,0.265,0.488,13189
"482","13191",0.034,0.076,0.188,0.221,0.481,13191
"483","13193",0.078,0.049,0.113,0.21,0.55,13193
"484","13195",0.165,0.084,0.055,0.186,0.511,13195
"485","13197",0.084,0.12,0.167,0.196,0.433,13197
"486","13199",0.109,0.086,0.138,0.15,0.517,13199
"487","13201",0.064,0.056,0.182,0.159,0.539,13201
"488","13205",0.044,0.112,0.055,0.159,0.63,13205
"489","13207",0.072,0.035,0.184,0.253,0.455,13207
"490","13209",0.114,0.083,0.174,0.228,0.401,13209
"491","13211",0.061,0.064,0.093,0.168,0.614,13211
"492","13213",0.193,0.03,0.182,0.177,0.417,13213
"493","13215",0.063,0.073,0.083,0.225,0.555,13215
"494","13217",0.094,0.076,0.123,0.207,0.5,13217
"495","13219",0.049,0.063,0.095,0.181,0.611,13219
"496","13221",0.056,0.082,0.054,0.181,0.627,13221
"497","13223",0.097,0.068,0.108,0.233,0.494,13223
"498","13225",0.027,0.074,0.172,0.16,0.567,13225
"499","13227",0.038,0.118,0.101,0.188,0.555,13227
"500","13229",0.05,0.143,0.127,0.157,0.522,13229
"501","13231",0.059,0.06,0.147,0.192,0.542,13231
"502","13233",0.106,0.071,0.192,0.145,0.485,13233
"503","13235",0.079,0.031,0.098,0.218,0.575,13235
"504","13237",0.059,0.093,0.118,0.214,0.516,13237
"505","13239",0.053,0.15,0.095,0.163,0.538,13239
"506","13241",0.1,0.083,0.124,0.229,0.464,13241
"507","13243",0.016,0.065,0.05,0.2,0.669,13243
"508","13245",0.068,0.059,0.114,0.18,0.578,13245
"509","13247",0.058,0.078,0.115,0.216,0.534,13247
"510","13249",0.07,0.102,0.117,0.214,0.497,13249
"511","13251",0.198,0.069,0.081,0.242,0.41,13251
"512","13253",0.073,0.079,0.202,0.135,0.51,13253
"513","13255",0.072,0.038,0.179,0.202,0.509,13255
"514","13257",0.087,0.116,0.116,0.31,0.37,13257
"515","13259",0.055,0.092,0.133,0.203,0.517,13259
"516","13261",0.055,0.056,0.046,0.202,0.641,13261
"517","13263",0.168,0.08,0.089,0.171,0.492,13263
"518","13265",0.065,0.048,0.086,0.158,0.644,13265
"519","13267",0.051,0.076,0.214,0.224,0.434,13267
"520","13269",0.126,0.069,0.182,0.201,0.422,13269
"521","13271",0.156,0.075,0.134,0.208,0.427,13271
"522","13273",0.019,0.029,0.03,0.167,0.755,13273
"523","13275",0.026,0.096,0.12,0.228,0.53,13275
"524","13277",0.066,0.088,0.122,0.227,0.496,13277
"525","13279",0.097,0.069,0.179,0.226,0.429,13279
"526","13281",0.076,0.096,0.098,0.199,0.531,13281
"527","13283",0.096,0.07,0.168,0.267,0.399,13283
"528","13285",0.175,0.031,0.119,0.178,0.497,13285
"529","13287",0.141,0.042,0.094,0.175,0.547,13287
"530","13289",0.04,0.077,0.188,0.148,0.547,13289
"531","13291",0.065,0.119,0.087,0.168,0.56,13291
"532","13293",0.16,0.1,0.114,0.206,0.421,13293
"533","13295",0.144,0.164,0.117,0.21,0.366,13295
"534","13297",0.106,0.127,0.184,0.141,0.442,13297
"535","13299",0.061,0.108,0.109,0.166,0.556,13299
"536","13301",0.095,0.065,0.14,0.226,0.474,13301
"537","13303",0.104,0.07,0.053,0.157,0.617,13303
"538","13305",0.029,0.139,0.143,0.139,0.55,13305
"539","13307",0.019,0.064,0.103,0.21,0.603,13307
"540","13309",0.135,0.078,0.162,0.23,0.395,13309
"541","13311",0.057,0.064,0.099,0.347,0.433,13311
"542","13313",0.185,0.068,0.203,0.142,0.403,13313
"543","13315",0.173,0.017,0.083,0.157,0.569,13315
"544","13317",0.08,0.086,0.114,0.172,0.548,13317
"545","13319",0.039,0.062,0.141,0.224,0.534,13319
"546","13321",0.069,0.056,0.083,0.187,0.605,13321
"547","15001",0.01,0.032,0.037,0.122,0.799,15001
"548","15003",0.011,0.012,0.027,0.151,0.798,15003
"549","15005",0.026,0.013,0.032,0.08,0.85,15005
"550","15007",0,0.021,0.046,0.108,0.825,15007
"551","15009",0.034,0.016,0.025,0.122,0.803,15009
"552","16001",0.118,0.078,0.084,0.194,0.526,16001
"553","16003",0.094,0.216,0.218,0.218,0.254,16003
"554","16005",0.084,0.193,0.176,0.195,0.352,16005
"555","16007",0.151,0.12,0.102,0.243,0.385,16007
"556","16009",0.038,0.059,0.15,0.152,0.601,16009
"557","16011",0.095,0.197,0.175,0.229,0.304,16011
"558","16013",0.155,0.107,0.102,0.13,0.506,16013
"559","16015",0.057,0.038,0.038,0.549,0.318,16015
"560","16017",0.088,0.116,0.119,0.241,0.436,16017
"561","16019",0.096,0.202,0.188,0.247,0.268,16019
"562","16021",0.045,0.171,0.061,0.185,0.537,16021
"563","16023",0.107,0.213,0.159,0.222,0.298,16023
"564","16025",0.186,0.03,0.047,0.098,0.639,16025
"565","16027",0.113,0.095,0.17,0.24,0.381,16027
"566","16029",0.1,0.181,0.191,0.202,0.326,16029
"567","16031",0.134,0.223,0.102,0.149,0.392,16031
"568","16033",0.119,0.228,0.196,0.239,0.218,16033
"569","16035",0.037,0.112,0.127,0.25,0.475,16035
"570","16037",0.069,0.029,0.199,0.244,0.458,16037
"571","16039",0.206,0.044,0.038,0.173,0.539,16039
"572","16041",0.131,0.118,0.085,0.256,0.41,16041
"573","16043",0.111,0.206,0.202,0.247,0.233,16043
"574","16045",0.119,0.136,0.111,0.198,0.436,16045
"575","16047",0.211,0.202,0.089,0.153,0.345,16047
"576","16049",0.045,0.094,0.164,0.275,0.423,16049
"577","16051",0.099,0.208,0.192,0.249,0.252,16051
"578","16053",0.175,0.219,0.096,0.167,0.343,16053
"579","16055",0.146,0.105,0.17,0.22,0.359,16055
"580","16057",0.002,0.012,0.066,0.328,0.592,16057
"581","16059",0.109,0.173,0.231,0.125,0.362,16059
"582","16061",0.027,0.073,0.157,0.285,0.459,16061
"583","16063",0.18,0.2,0.105,0.135,0.379,16063
"584","16065",0.101,0.207,0.196,0.25,0.245,16065
"585","16067",0.134,0.219,0.106,0.152,0.39,16067
"586","16069",0.009,0.03,0.117,0.326,0.517,16069
"587","16071",0.083,0.173,0.153,0.185,0.406,16071
"588","16073",0.123,0.137,0.146,0.171,0.423,16073
"589","16075",0.081,0.199,0.174,0.242,0.304,16075
"590","16077",0.078,0.205,0.152,0.185,0.381,16077
"591","16079",0.068,0.144,0.299,0.147,0.342,16079
"592","16081",0.099,0.189,0.19,0.25,0.272,16081
"593","16083",0.166,0.222,0.101,0.177,0.335,16083
"594","16085",0.041,0.118,0.102,0.378,0.361,16085
"595","16087",0.136,0.13,0.324,0.172,0.239,16087
"596","17001",0.18,0.092,0.189,0.19,0.35,17001
"597","17003",0.11,0.082,0.148,0.262,0.398,17003
"598","17005",0.07,0.055,0.108,0.218,0.549,17005
"599","17007",0.025,0.006,0.065,0.244,0.66,17007
"600","17009",0.18,0.099,0.136,0.2,0.385,17009
"601","17011",0.012,0.019,0.156,0.208,0.605,17011
"602","17013",0.082,0.06,0.219,0.366,0.273,17013
"603","17015",0.03,0.064,0.12,0.19,0.596,17015
"604","17017",0.103,0.08,0.19,0.187,0.441,17017
"605","17019",0,0.067,0.08,0.192,0.661,17019
"606","17021",0.059,0.057,0.091,0.19,0.603,17021
"607","17023",0.127,0.089,0.107,0.226,0.451,17023
"608","17025",0.062,0.115,0.145,0.306,0.372,17025
"609","17027",0.102,0.063,0.083,0.166,0.587,17027
"610","17029",0.112,0.055,0.201,0.221,0.411,17029
"611","17031",0.023,0.021,0.072,0.162,0.722,17031
"612","17033",0.146,0.196,0.047,0.219,0.392,17033
"613","17035",0.095,0.075,0.194,0.212,0.424,17035
"614","17037",0.007,0.012,0.034,0.191,0.756,17037
"615","17039",0.035,0.106,0.073,0.28,0.507,17039
"616","17041",0.048,0.061,0.105,0.191,0.594,17041
"617","17043",0.01,0.01,0.056,0.163,0.76,17043
"618","17045",0.174,0.09,0.131,0.208,0.398,17045
"619","17047",0.086,0.148,0.233,0.306,0.228,17047
"620","17049",0.072,0.072,0.214,0.232,0.41,17049
"621","17051",0.069,0.076,0.156,0.229,0.47,17051
"622","17053",0.011,0.082,0.167,0.172,0.567,17053
"623","17055",0.099,0.166,0.119,0.211,0.405,17055
"624","17057",0.016,0.03,0.311,0.199,0.444,17057
"625","17059",0.201,0.06,0.128,0.238,0.373,17059
"626","17061",0.136,0.029,0.109,0.217,0.508,17061
"627","17063",0.056,0.056,0.105,0.183,0.599,17063
"628","17065",0.138,0.179,0.1,0.21,0.373,17065
"629","17067",0.147,0.154,0.125,0.163,0.411,17067
"630","17069",0.163,0.072,0.235,0.191,0.34,17069
"631","17071",0.096,0.044,0.101,0.155,0.604,17071
"632","17073",0.067,0.072,0.061,0.203,0.597,17073
"633","17075",0.097,0.168,0.069,0.242,0.424,17075
"634","17077",0.066,0.078,0.151,0.209,0.496,17077
"635","17079",0.099,0.135,0.131,0.254,0.38,17079
"636","17081",0.122,0.126,0.08,0.279,0.393,17081
"637","17083",0.074,0.079,0.124,0.185,0.537,17083
"638","17085",0.034,0.104,0.22,0.178,0.465,17085
"639","17087",0.124,0.05,0.189,0.141,0.496,17087
"640","17089",0.013,0.026,0.048,0.165,0.748,17089
"641","17091",0.044,0.084,0.096,0.249,0.527,17091
"642","17093",0.001,0.009,0.065,0.136,0.788,17093
"643","17095",0.035,0.031,0.194,0.246,0.494,17095
"644","17097",0.02,0.018,0.046,0.146,0.769,17097
"645","17099",0.018,0.046,0.113,0.267,0.556,17099
"646","17101",0.197,0.157,0.105,0.281,0.26,17101
"647","17103",0.013,0.054,0.058,0.224,0.65,17103
"648","17105",0.03,0.147,0.08,0.234,0.51,17105
"649","17107",0.046,0.045,0.23,0.128,0.551,17107
"650","17109",0.041,0.091,0.097,0.182,0.59,17109
"651","17111",0.03,0.012,0.066,0.176,0.716,17111
"652","17113",0.085,0.062,0.091,0.201,0.561,17113
"653","17115",0.016,0.062,0.088,0.286,0.549,17115
"654","17117",0.015,0.05,0.147,0.227,0.561,17117
"655","17119",0.035,0.045,0.083,0.189,0.648,17119
"656","17121",0.1,0.093,0.101,0.302,0.404,17121
"657","17123",0.048,0.083,0.133,0.198,0.538,17123
"658","17125",0.238,0.031,0.292,0.126,0.313,17125
"659","17127",0.097,0.043,0.232,0.256,0.373,17127
"660","17129",0.102,0.047,0.138,0.172,0.54,17129
"661","17131",0.039,0.066,0.11,0.215,0.571,17131
"662","17133",0.003,0.04,0.112,0.174,0.67,17133
"663","17135",0.018,0.05,0.091,0.316,0.525,17135
"664","17137",0.05,0.062,0.177,0.178,0.533,17137
"665","17139",0.081,0.073,0.213,0.243,0.39,17139
"666","17141",0.053,0.045,0.129,0.184,0.589,17141
"667","17143",0.039,0.036,0.096,0.251,0.577,17143
"668","17145",0.055,0.092,0.104,0.358,0.392,17145
"669","17147",0.003,0.052,0.06,0.198,0.688,17147
"670","17149",0.138,0.079,0.218,0.205,0.36,17149
"671","17151",0.104,0.054,0.213,0.214,0.415,17151
"672","17153",0.117,0.064,0.189,0.225,0.405,17153
"673","17155",0.021,0.025,0.168,0.251,0.535,17155
"674","17157",0.008,0.032,0.117,0.391,0.452,17157
"675","17159",0.111,0.151,0.107,0.3,0.331,17159
"676","17161",0.078,0.025,0.066,0.235,0.596,17161
"677","17163",0.032,0.027,0.037,0.138,0.767,17163
"678","17165",0.117,0.106,0.111,0.204,0.462,17165
"679","17167",0.017,0.03,0.155,0.233,0.564,17167
"680","17169",0.132,0.1,0.152,0.198,0.417,17169
"681","17171",0.113,0.057,0.148,0.162,0.52,17171
"682","17173",0.07,0.047,0.168,0.245,0.469,17173
"683","17175",0.013,0.101,0.058,0.155,0.672,17175
"684","17177",0.036,0.059,0.041,0.222,0.644,17177
"685","17179",0.044,0.04,0.141,0.215,0.56,17179
"686","17181",0.1,0.078,0.162,0.195,0.466,17181
"687","17183",0.023,0.119,0.088,0.266,0.504,17183
"688","17185",0.078,0.113,0.271,0.325,0.212,17185
"689","17187",0.042,0.02,0.141,0.276,0.522,17187
"690","17189",0.118,0.046,0.053,0.327,0.456,17189
"691","17191",0.086,0.142,0.128,0.3,0.345,17191
"692","17193",0.19,0.144,0.095,0.239,0.332,17193
"693","17195",0.025,0.066,0.042,0.218,0.649,17195
"694","17197",0.041,0.024,0.062,0.134,0.739,17197
"695","17199",0.095,0.122,0.136,0.183,0.464,17199
"696","17201",0.031,0.03,0.089,0.193,0.657,17201
"697","17203",0.062,0.067,0.112,0.242,0.517,17203
"698","18001",0.136,0.047,0.16,0.348,0.309,18001
"699","18003",0.07,0.14,0.099,0.228,0.464,18003
"700","18005",0.138,0.084,0.085,0.286,0.406,18005
"701","18007",0.082,0.126,0.112,0.183,0.496,18007
"702","18009",0.093,0.152,0.106,0.203,0.447,18009
"703","18011",0.052,0.085,0.142,0.308,0.413,18011
"704","18013",0.055,0.061,0.041,0.184,0.66,18013
"705","18015",0.059,0.104,0.17,0.22,0.447,18015
"706","18017",0.037,0.192,0.283,0.206,0.283,18017
"707","18019",0.068,0.06,0.141,0.228,0.501,18019
"708","18021",0.122,0.073,0.112,0.226,0.466,18021
"709","18023",0.088,0.033,0.132,0.285,0.462,18023
"710","18025",0.067,0.089,0.118,0.261,0.465,18025
"711","18027",0.049,0.061,0.13,0.214,0.546,18027
"712","18029",0.083,0.1,0.168,0.277,0.371,18029
"713","18031",0.175,0.083,0.101,0.204,0.437,18031
"714","18033",0.109,0.074,0.118,0.149,0.55,18033
"715","18035",0.095,0.109,0.124,0.197,0.475,18035
"716","18037",0.01,0.105,0.086,0.25,0.55,18037
"717","18039",0.03,0.097,0.094,0.252,0.528,18039
"718","18041",0.161,0.041,0.048,0.237,0.514,18041
"719","18043",0.053,0.086,0.154,0.233,0.474,18043
"720","18045",0.077,0.089,0.147,0.212,0.474,18045
"721","18047",0.07,0.082,0.104,0.199,0.545,18047
"722","18049",0.142,0.114,0.128,0.217,0.399,18049
"723","18051",0.09,0.1,0.204,0.255,0.351,18051
"724","18053",0.053,0.108,0.133,0.311,0.393,18053
"725","18055",0.099,0.027,0.081,0.235,0.558,18055
"726","18057",0.07,0.051,0.049,0.234,0.596,18057
"727","18059",0.068,0.04,0.166,0.306,0.42,18059
"728","18061",0.094,0.084,0.205,0.258,0.359,18061
"729","18063",0.054,0.052,0.113,0.257,0.523,18063
"730","18065",0.183,0.148,0.125,0.111,0.434,18065
"731","18067",0.008,0.083,0.183,0.301,0.426,18067
"732","18069",0.15,0.182,0.053,0.199,0.416,18069
"733","18071",0.097,0.098,0.105,0.388,0.312,18071
"734","18073",0.186,0.1,0.065,0.328,0.321,18073
"735","18075",0.141,0.139,0.157,0.235,0.328,18075
"736","18077",0.083,0.219,0.218,0.225,0.255,18077
"737","18079",0.095,0.105,0.172,0.308,0.319,18079
"738","18081",0.057,0.094,0.1,0.192,0.557,18081
"739","18083",0.158,0.125,0.121,0.259,0.338,18083
"740","18085",0.073,0.147,0.089,0.195,0.496,18085
"741","18087",0.059,0.082,0.171,0.236,0.452,18087
"742","18089",0.043,0.057,0.088,0.219,0.592,18089
"743","18091",0.084,0.075,0.168,0.206,0.466,18091
"744","18093",0.092,0.117,0.109,0.191,0.491,18093
"745","18095",0.062,0.084,0.15,0.145,0.559,18095
"746","18097",0.051,0.053,0.116,0.232,0.548,18097
"747","18099",0.12,0.103,0.159,0.229,0.389,18099
"748","18101",0.041,0.064,0.123,0.223,0.55,18101
"749","18103",0.054,0.125,0.253,0.226,0.343,18103
"750","18105",0.037,0.037,0.094,0.242,0.591,18105
"751","18107",0.07,0.116,0.168,0.156,0.49,18107
"752","18109",0.06,0.131,0.136,0.188,0.485,18109
"753","18111",0.102,0.153,0.092,0.338,0.316,18111
"754","18113",0.057,0.11,0.135,0.197,0.5,18113
"755","18115",0.06,0.078,0.18,0.223,0.459,18115
"756","18117",0.096,0.086,0.073,0.315,0.43,18117
"757","18119",0.094,0.038,0.087,0.282,0.5,18119
"758","18121",0.116,0.111,0.174,0.195,0.405,18121
"759","18123",0.01,0.109,0.087,0.252,0.542,18123
"760","18125",0.052,0.089,0.163,0.2,0.495,18125
"761","18127",0.05,0.1,0.108,0.231,0.512,18127
"762","18129",0.132,0.056,0.115,0.226,0.472,18129
"763","18131",0.135,0.219,0.171,0.253,0.223,18131
"764","18133",0.075,0.162,0.204,0.194,0.366,18133
"765","18135",0.128,0.13,0.228,0.179,0.336,18135
"766","18137",0.054,0.074,0.15,0.294,0.429,18137
"767","18139",0.133,0.118,0.063,0.279,0.408,18139
"768","18141",0.031,0.04,0.102,0.228,0.598,18141
"769","18143",0.036,0.073,0.168,0.263,0.46,18143
"770","18145",0.16,0.057,0.177,0.193,0.413,18145
"771","18147",0.017,0.134,0.104,0.216,0.529,18147
"772","18149",0.177,0.151,0.088,0.219,0.365,18149
"773","18151",0.04,0.089,0.17,0.169,0.532,18151
"774","18153",0.127,0.071,0.077,0.207,0.517,18153
"775","18155",0.089,0.125,0.209,0.234,0.344,18155
"776","18157",0.093,0.083,0.102,0.204,0.518,18157
"777","18159",0.033,0.082,0.089,0.444,0.352,18159
"778","18161",0.095,0.053,0.106,0.178,0.569,18161
"779","18163",0.07,0.039,0.115,0.234,0.542,18163
"780","18165",0.113,0.105,0.134,0.223,0.426,18165
"781","18167",0.118,0.064,0.102,0.25,0.466,18167
"782","18169",0.07,0.11,0.237,0.202,0.381,18169
"783","18171",0.079,0.115,0.092,0.223,0.492,18171
"784","18173",0.045,0.038,0.117,0.252,0.548,18173
"785","18175",0.097,0.074,0.062,0.356,0.411,18175
"786","18177",0.162,0.09,0.138,0.261,0.348,18177
"787","18179",0.205,0.05,0.077,0.337,0.332,18179
"788","18181",0.056,0.177,0.194,0.189,0.384,18181
"789","18183",0.061,0.186,0.132,0.16,0.46,18183
"790","19001",0.073,0.128,0.128,0.307,0.364,19001
"791","19003",0.148,0.11,0.15,0.311,0.281,19003
"792","19005",0.138,0.049,0.132,0.212,0.469,19005
"793","19007",0.044,0.11,0.239,0.193,0.413,19007
"794","19009",0.224,0.073,0.194,0.187,0.322,19009
"795","19011",0.098,0.067,0.13,0.2,0.504,19011
"796","19013",0.032,0.053,0.18,0.289,0.447,19013
"797","19015",0.09,0.08,0.1,0.197,0.533,19015
"798","19017",0.048,0.062,0.197,0.268,0.424,19017
"799","19019",0.021,0.124,0.087,0.394,0.373,19019
"800","19021",0.183,0.062,0.26,0.207,0.288,19021
"801","19023",0.052,0.094,0.208,0.23,0.417,19023
"802","19025",0.212,0.117,0.213,0.153,0.304,19025
"803","19027",0.153,0.11,0.241,0.139,0.358,19027
"804","19029",0.341,0.07,0.124,0.238,0.227,19029
"805","19031",0.026,0.096,0.142,0.355,0.381,19031
"806","19033",0.061,0.365,0.146,0.213,0.215,19033
"807","19035",0.183,0.105,0.221,0.182,0.309,19035
"808","19037",0.075,0.136,0.197,0.236,0.356,19037
"809","19039",0.078,0.167,0.143,0.194,0.418,19039
"810","19041",0.224,0.035,0.112,0.189,0.441,19041
"811","19043",0.123,0.084,0.137,0.284,0.371,19043
"812","19045",0.092,0.13,0.079,0.269,0.43,19045
"813","19047",0.089,0.045,0.141,0.064,0.66,19047
"814","19049",0.036,0.102,0.118,0.26,0.485,19049
"815","19051",0.038,0.101,0.249,0.201,0.411,19051
"816","19053",0.248,0.132,0.258,0.068,0.294,19053
"817","19055",0.035,0.137,0.137,0.408,0.283,19055
"818","19057",0.135,0.081,0.109,0.122,0.553,19057
"819","19059",0.276,0.027,0.091,0.173,0.433,19059
"820","19061",0.037,0.155,0.189,0.189,0.43,19061
"821","19063",0.241,0.083,0.067,0.181,0.428,19063
"822","19065",0.054,0.075,0.128,0.349,0.394,19065
"823","19067",0.063,0.271,0.148,0.25,0.268,19067
"824","19069",0.088,0.278,0.187,0.186,0.261,19069
"825","19071",0.048,0.061,0.071,0.209,0.611,19071
"826","19073",0.116,0.141,0.235,0.153,0.354,19073
"827","19075",0.038,0.042,0.203,0.238,0.48,19075
"828","19077",0.162,0.073,0.143,0.283,0.34,19077
"829","19079",0.143,0.118,0.129,0.153,0.457,19079
"830","19081",0.08,0.384,0.146,0.174,0.216,19081
"831","19083",0.074,0.075,0.195,0.214,0.441,19083
"832","19085",0.118,0.044,0.094,0.178,0.565,19085
"833","19087",0.123,0.142,0.091,0.183,0.461,19087
"834","19089",0.077,0.151,0.176,0.183,0.413,19089
"835","19091",0.243,0.268,0.147,0.102,0.24,19091
"836","19093",0.153,0.094,0.246,0.128,0.38,19093
"837","19095",0.027,0.149,0.135,0.239,0.45,19095
"838","19097",0.032,0.096,0.229,0.232,0.411,19097
"839","19099",0.102,0.105,0.233,0.212,0.347,19099
"840","19101",0.074,0.116,0.221,0.191,0.398,19101
"841","19103",0.014,0.044,0.069,0.2,0.673,19103
"842","19105",0.04,0.105,0.165,0.336,0.355,19105
"843","19107",0.035,0.126,0.287,0.28,0.272,19107
"844","19109",0.135,0.318,0.101,0.173,0.272,19109
"845","19111",0.17,0.146,0.131,0.161,0.392,19111
"846","19113",0.039,0.081,0.115,0.201,0.563,19113
"847","19115",0.097,0.058,0.15,0.214,0.482,19115
"848","19117",0.032,0.204,0.196,0.185,0.384,19117
"849","19119",0.078,0.173,0.157,0.247,0.344,19119
"850","19121",0.01,0.102,0.136,0.268,0.484,19121
"851","19123",0.069,0.067,0.294,0.283,0.287,19123
"852","19125",0.053,0.049,0.209,0.26,0.429,19125
"853","19127",0.077,0.064,0.153,0.226,0.48,19127
"854","19129",0.064,0.084,0.091,0.281,0.481,19129
"855","19131",0.046,0.282,0.149,0.26,0.263,19131
"856","19133",0.078,0.069,0.087,0.127,0.64,19133
"857","19135",0.034,0.078,0.256,0.247,0.385,19135
"858","19137",0.218,0.034,0.084,0.378,0.286,19137
"859","19139",0.12,0.022,0.221,0.273,0.364,19139
"860","19141",0.173,0.054,0.267,0.187,0.319,19141
"861","19143",0.195,0.051,0.233,0.199,0.322,19143
"862","19145",0.088,0.053,0.068,0.31,0.481,19145
"863","19147",0.199,0.116,0.088,0.179,0.419,19147
"864","19149",0.125,0.145,0.166,0.162,0.402,19149
"865","19151",0.214,0.124,0.162,0.165,0.335,19151
"866","19153",0.044,0.089,0.136,0.259,0.473,19153
"867","19155",0.115,0.083,0.147,0.264,0.39,19155
"868","19157",0.121,0.145,0.187,0.164,0.383,19157
"869","19159",0.144,0.138,0.281,0.162,0.275,19159
"870","19161",0.18,0.071,0.286,0.159,0.303,19161
"871","19163",0.075,0.027,0.126,0.277,0.494,19163
"872","19165",0.099,0.059,0.182,0.145,0.516,19165
"873","19167",0.12,0.06,0.285,0.2,0.335,19167
"874","19169",0.045,0.075,0.071,0.235,0.574,19169
"875","19171",0.066,0.053,0.209,0.181,0.491,19171
"876","19173",0.09,0.151,0.185,0.282,0.292,19173
"877","19175",0.03,0.125,0.172,0.21,0.462,19175
"878","19177",0.107,0.128,0.175,0.218,0.372,19177
"879","19179",0.034,0.082,0.293,0.221,0.37,19179
"880","19181",0.055,0.182,0.181,0.245,0.337,19181
"881","19183",0.035,0.102,0.123,0.151,0.589,19183
"882","19185",0.138,0.148,0.252,0.12,0.342,19185
"883","19187",0.209,0.167,0.161,0.101,0.362,19187
"884","19189",0.07,0.329,0.176,0.197,0.228,19189
"885","19191",0.122,0.044,0.151,0.177,0.505,19191
"886","19193",0.113,0.165,0.137,0.16,0.425,19193
"887","19195",0.072,0.271,0.175,0.231,0.251,19195
"888","19197",0.172,0.299,0.173,0.125,0.232,19197
"889","20001",0.153,0.212,0.126,0.167,0.341,20001
"890","20003",0.189,0.063,0.137,0.267,0.344,20003
"891","20005",0.137,0.122,0.169,0.256,0.316,20005
"892","20007",0.069,0.147,0.118,0.329,0.336,20007
"893","20009",0.107,0.131,0.12,0.211,0.43,20009
"894","20011",0.167,0.146,0.077,0.12,0.49,20011
"895","20013",0.089,0.149,0.183,0.197,0.382,20013
"896","20015",0.053,0.133,0.122,0.222,0.47,20015
"897","20017",0.151,0.082,0.212,0.225,0.331,20017
"898","20019",0.128,0.137,0.185,0.214,0.337,20019
"899","20021",0.131,0.121,0.164,0.174,0.41,20021
"900","20023",0.065,0.27,0.174,0.235,0.256,20023
"901","20025",0.163,0.13,0.126,0.232,0.348,20025
"902","20027",0.081,0.069,0.115,0.229,0.507,20027
"903","20029",0.154,0.077,0.118,0.217,0.434,20029
"904","20031",0.085,0.119,0.165,0.404,0.227,20031
"905","20033",0.112,0.144,0.128,0.271,0.346,20033
"906","20035",0.075,0.093,0.28,0.131,0.421,20035
"907","20037",0.108,0.143,0.118,0.139,0.492,20037
"908","20039",0.163,0.118,0.211,0.235,0.273,20039
"909","20041",0.106,0.118,0.148,0.243,0.385,20041
"910","20043",0.137,0.193,0.184,0.214,0.272,20043
"911","20045",0.006,0.009,0.024,0.227,0.734,20045
"912","20047",0.052,0.086,0.135,0.221,0.506,20047
"913","20049",0.061,0.05,0.295,0.282,0.312,20049
"914","20051",0.154,0.154,0.224,0.148,0.32,20051
"915","20053",0.174,0.133,0.133,0.187,0.373,20053
"916","20055",0.166,0.089,0.163,0.239,0.343,20055
"917","20057",0.143,0.084,0.143,0.232,0.399,20057
"918","20059",0.063,0.06,0.159,0.354,0.364,20059
"919","20061",0.05,0.068,0.113,0.27,0.499,20061
"920","20063",0.24,0.089,0.234,0.151,0.287,20063
"921","20065",0.218,0.156,0.247,0.129,0.25,20065
"922","20067",0.14,0.108,0.15,0.231,0.37,20067
"923","20069",0.158,0.092,0.146,0.24,0.364,20069
"924","20071",0.135,0.131,0.181,0.229,0.323,20071
"925","20073",0.034,0.079,0.256,0.302,0.33,20073
"926","20075",0.131,0.095,0.189,0.217,0.368,20075
"927","20077",0.079,0.118,0.21,0.193,0.4,20077
"928","20079",0.075,0.058,0.121,0.323,0.423,20079
"929","20081",0.153,0.107,0.137,0.239,0.364,20081
"930","20083",0.126,0.075,0.163,0.225,0.412,20083
"931","20085",0.01,0.116,0.161,0.136,0.577,20085
"932","20087",0.026,0.069,0.09,0.182,0.634,20087
"933","20089",0.171,0.142,0.087,0.259,0.34,20089
"934","20091",0.029,0.019,0.075,0.224,0.654,20091
"935","20093",0.155,0.098,0.172,0.229,0.346,20093
"936","20095",0.081,0.212,0.114,0.128,0.464,20095
"937","20097",0.062,0.107,0.128,0.233,0.469,20097
"938","20099",0.168,0.123,0.091,0.147,0.471,20099
"939","20101",0.197,0.075,0.197,0.204,0.326,20101
"940","20103",0.087,0.135,0.092,0.142,0.544,20103
"941","20105",0.171,0.132,0.16,0.163,0.375,20105
"942","20107",0.14,0.053,0.121,0.285,0.4,20107
"943","20109",0.206,0.131,0.194,0.189,0.28,20109
"944","20111",0.113,0.111,0.133,0.3,0.344,20111
"945","20113",0.12,0.065,0.106,0.313,0.396,20113
"946","20115",0.101,0.068,0.209,0.279,0.343,20115
"947","20117",0.048,0.049,0.233,0.263,0.407,20117
"948","20119",0.164,0.123,0.115,0.235,0.362,20119
"949","20121",0.071,0.044,0.095,0.25,0.54,20121
"950","20123",0.173,0.116,0.144,0.18,0.388,20123
"951","20125",0.164,0.132,0.102,0.195,0.407,20125
"952","20127",0.11,0.094,0.148,0.244,0.404,20127
"953","20129",0.12,0.113,0.144,0.218,0.405,20129
"954","20131",0.035,0.094,0.203,0.236,0.432,20131
"955","20133",0.133,0.204,0.12,0.127,0.416,20133
