,Date,Predicted_Cumulative_NPF,Predicted_Cumulative_NPNF,Predicted_Cumulative_PF,Predicted_Cumulative_PNF
83,2020-6-22,4047.842621,4416.068686,205.2715517,209.6061581
84,2020-6-23,4305.732883,4726.923321,210.4966846,214.8693465
85,2020-6-24,4569.16491,5056.739642,215.8521619,220.2696679
86,2020-6-25,4847.442538,5408.950775,221.4095076,225.7919504
87,2020-6-26,5139.224481,5784.852526,227.0630223,231.4527387
88,2020-6-27,5446.768418,6186.763415,232.8806705,237.2572283
89,2020-6-28,5775.168629,6617.237284,238.8150523,243.187113
90,2020-6-29,6115.506061,7075.3626,244.877964,249.2652062
91,2020-6-30,6470.180806,7563.983633,251.0553215,255.4952122
92,2020-7-1,6842.296756,8087.266047,257.4101326,261.931858
93,2020-7-2,7254.097528,8649.226371,263.854945,268.5192528
94,2020-7-3,7693.035789,9252.32774,270.4808073,275.2723158
95,2020-7-4,8172.104997,9900.470943,277.2802838,282.1952134
96,2020-7-5,8686.658304,10598.61182,284.2969297,289.2922168
97,2020-7-6,9257.564212,11348.85445,291.5590932,296.5635769
98,2020-7-7,9931.205408,12169.85298,299.0067635,304.0177027
99,2020-7-8,10663.12569,13049.71215,306.6503081,311.659188
100,2020-7-9,11448.3282,13992.94877,314.5079408,319.4842201
101,2020-7-10,12293.26617,15004.36277,322.5669181,327.5057204
102,2020-7-11,13188.39819,16083.45744,330.8070736,335.7286219
103,2020-7-12,14145.11394,17242.30014,339.2679904,344.1668833
104,2020-7-13,15177.13064,18489.11015,347.9129999,352.812995
105,2020-7-14,16290.97034,19826.04471,356.7888736,361.8116139
106,2020-7-15,17483.08694,21257.3323,365.8498156,371.0239866
107,2020-7-16,18761.67523,22791.65185,375.3086919,380.4735735
108,2020-7-17,20131.15249,24442.91488,384.976679,390.1474224
109,2020-7-18,21588.49845,26204.33191,394.6199305,400.0050323
110,2020-7-19,23131.52748,28097.79748,404.4131286,410.0948947
111,2020-7-20,24758.92238,30113.50169,414.2711186,420.3690675
112,2020-7-21,26493.0562,32269.83168,424.2786095,430.8553755
113,2020-7-22,28319.83419,34577.95615,434.5068134,441.6032694
114,2020-7-23,30232.98379,37030.46618,444.9519704,452.6082419
115,2020-7-24,32226.37787,39653.23004,455.6447783,463.8814145
116,2020-7-25,34338.76073,42463.58589,466.5168898,475.4268265
117,2020-7-26,36577.69925,45461.81446,477.5649627,487.3314259
118,2020-7-27,38891.92257,48685.46815,489.1173025,499.4942918
119,2020-7-28,41298.47651,52135.2979,500.7851436,511.9206565
120,2020-7-29,43719.94628,55766.01301,511.8694398,524.540686
121,2020-7-30,46208.84818,59647.18108,522.7983138,537.3018734
122,2020-7-31,48730.81354,63761.16077,533.8492807,550.3094801
123,2020-8-1,51368.80707,68166.4384,545.0234331,563.5939344
124,2020-8-2,54166.6929,72904.67195,556.3855287,577.1855816
125,2020-8-3,57101.09746,77979.98066,567.864312,591.0655956
126,2020-8-4,60183.37819,83392.91514,579.5425745,605.2477576
127,2020-8-5,63392.31735,89145.50941,591.3795067,619.7403294
128,2020-8-6,66752.59392,95279.10154,603.3038857,634.5403617
129,2020-8-7,70210.4909,101736.1562,615.2992962,649.6095961
130,2020-8-8,73829.08758,108622.6611,627.4228158,664.9797769
131,2020-8-9,77528.59723,115877.098,639.7128313,680.6915922
